Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
34	NCT04390594	Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal	SEN-CoV-Fadj	Recruiting	No Results Available	COVID-19	Drug: Nafamostat Mesilate	SARS-CoV-2 viral load level|Vital status|Proportion of patients with serious adverse events reported during the clinical trial.|Length of hospitalization|Length of hospitalization in a resuscitation unit|Duration of oxygen therapy|Maximum quick SOFA (qSOFA) score during hospitalisation|Clinical status on the seven-category ordinal scale	Institut Pasteur de Dakar|Fann Hospital, Senegal|Ministry of Health, Senegal|Diamniadio Children Hospital, Senegal|Dalal Jamm Hospital, Senegal|Institut Pasteur Korea	All	18 Years and older   (Adult, Older Adult)	Phase 3	186	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020-002	August 13, 2020	February 12, 2021	August 12, 2021	May 15, 2020		September 7, 2020	Infectious and Tropical Diseases Department, Fann Hospital, Dakar, Senegal|Diamniadio Children Hospital, Diamniadio, Senegal|Dalal Jamm Hospital, Guédiawaye, Senegal		https://ClinicalTrials.gov/show/NCT04390594
35	NCT04355936	Telmisartan for Treatment of COVID-19 Patients		Recruiting	No Results Available	COVID-19 Drug Treatment	Drug: Telmisartan arm will receive 80 mg Telmisartan twice daily plus standard care.	C reactive protein|Admission to intensive care unit (ICU)|Occurrence of mechanical ventilation|Death|Composite occurrence of admission to ICU, mechanical ventilation or death (what occur first)|Time from randomization to discharge|Proportion of patients not requiring supplemental oxygen at day 15|Significative differences in serum lactate dehydrogenase	Laboratorio Elea Phoenix S.A.|Carlos R. Rojo, MD|Facultad de Medicina, Universidad de Buenos Aires, UBA	All	18 Years and older   (Adult, Older Adult)	Phase 4	400	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020-001	May 19, 2020	October 1, 2020	October 1, 2020	April 21, 2020		August 6, 2020	Hospital de Clínicas 'José de San Martín', Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Ciudad De Buenos Aires, Argentina|Hospital Español de Buenos Aires, Ciudad Autonoma de Buenos Aires, Argentina		https://ClinicalTrials.gov/show/NCT04355936
36	NCT04362943	Clinical-epidemiological Characterization of COVID-19 Disease in Hospitalized Older Adults	COVID-AGE	Recruiting	No Results Available	COVID-19	Drug: Baricitinib or Anakinra	Mortality|X-ray changes|Disability changes|Ambulation changes|lymphocyte count changes|C-Reactive Protein changes|Ferritin changes|D-Dimer changes	Complejo Hospitalario Universitario de Albacete	All	70 Years and older   (Older Adult)		576	Other	Observational	Observational Model: Other|Time Perspective: Retrospective	PAS-BAR-2020-04	April 20, 2020	May 15, 2020	July 31, 2020	April 27, 2020		April 27, 2020	Complejo Hospitalario Universitario de Albacete, Albacete, Spain		https://ClinicalTrials.gov/show/NCT04362943
37	NCT04381884	Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19		Completed	No Results Available	COVID-19 Drug Treatment	Drug: IVERMECTIN (IVER P®) arm will receive IVM 600 µg / kg once daily plus standard care. CONTROL arm will receive standard care.	Reduction in SARS-CoV-2 viral load|Number of patients with partial or complete response in COVID-19 clinical symptoms|Number of patients with worsening in the clinical condition|Number of patients with adverse events as a measure of safety and tolerability|Ivermectin concentrations measured in plasma|Evaluation of reactivity of the antibodies against SARS-CoV-2	Laboratorio Elea Phoenix S.A.|Universidad Nacional de Salta|Centro de Investigación Veterinaria Tandil CIVETAN|Hospital de Pediatría Prof Dr. Juan P. Garrahan|Universidad Nacional de Quilmes	All	18 Years to 69 Years   (Adult, Older Adult)	Phase 2	45	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IVM-AR-1	May 18, 2020	September 29, 2020	September 29, 2020	May 11, 2020		October 2, 2020	Hospital de Cuenca Alta, Cañuelas, Buenos Aires, Argentina|Centro de Educación Médica e Investigaciones Clínicas "Norberto Quirno" CEMIC, Buenos Aires, Ciudad De Buenos Aires, Argentina|Hospital de Infecciosas Francisco Javier Muñiz, Ciudad Autonoma de Buenos Aires, Argentina		https://ClinicalTrials.gov/show/NCT04381884
38	NCT04389359	PROphylaxis for paTiEnts at Risk of COVID-19 infecTion	PROTECT	Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine Sulfate 200 MG	Time to confirmed diagnosis of COVID-19|All-cause mortality|Severity of COVID-19 disease|Incidence of COVID-19 complications	Cambridge University Hospitals NHS Foundation Trust|University of Cambridge	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	1500	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	A095590	September 2020	August 2021	August 2025	May 15, 2020		July 13, 2020			https://ClinicalTrials.gov/show/NCT04389359
39	NCT04394442	Hydroxychloroquine in COVID-19 Patients		Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	time to viral clearance|% of mortality|Length of stay|time to be afebrile|need for mechanical ventilation	Samah Lutfy|Zagazig University	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 2	200	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SNH1352020	March 21, 2020	August 2020	August 2020	May 19, 2020		May 19, 2020	SNH, Mecca, Saudi Arabia		https://ClinicalTrials.gov/show/NCT04394442
40	NCT04535869	Efficacy and Safety of Direct Anti HCV Drugs in the Treatment of SARS-COV-2 (COVID-19)	CCOVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Sofosbuvir 400 MG plus Daclatasvir 200mg	rate of virological cure by Rt -PCR for COVID -19using the triple therapy as compared to standard treatment|resolution of pneumonia BY high resolution Computed tomography	Mansoura University	All	18 Years and older   (Adult, Older Adult)	Phase 3	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MS.20.08.1214	September 4, 2020	January 1, 2021	September 3, 2021	September 2, 2020		September 3, 2020	Mansoura Faculty of Medicine, Mansoura, Dakahlyia, Egypt		https://ClinicalTrials.gov/show/NCT04535869
41	NCT04389567	Famotidine Outpatient COVID-19 Treatment Study		Completed	No Results Available	COVID-19	Drug: Famotidine	Symptomatic improvement|Peripheral blood oxygen saturation	Northwell Health|Cold Spring Harbor Laboratory	All	18 Years and older   (Adult, Older Adult)		10	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	1605914-1	May 12, 2020	May 25, 2020	May 25, 2020	May 15, 2020		June 4, 2020	Cold Spring Harbor Laboratory, Cold Spring Harbor, New York, United States		https://ClinicalTrials.gov/show/NCT04389567
42	NCT04361214	Leflunomide in Mild COVID-19 Patients		Recruiting	No Results Available	COVID-19	Drug: Leflunomide	Tolerability of high dose leflunomide as measured by leflunomide dose modifications|Tolerability of high dose leflunomide as measured by discontinuation of leflunomide|Tolerability of high dose leflunomide as measured by Adverse Events|Rate of hospitalization due to COVID-19 as measured by number of patients hospitalized|Time to defervescence as measured in days while on treatment protocol|Resolution of other COVID-19 symptoms measured in days while on treatment protocol	University of Chicago	All	18 Years and older   (Adult, Older Adult)	Phase 1	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB20-0622	May 5, 2020	September 2020	September 2020	April 24, 2020		August 25, 2020	University of Chicago, Chicago, Illinois, United States		https://ClinicalTrials.gov/show/NCT04361214
43	NCT04304313	A Pilot Study of Sildenafil in COVID-19		Recruiting	No Results Available	COVID-19	Drug: Sildenafil citrate tablets	Rate of disease remission|Rate of entering the critical stage|Time of entering the critical stage|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of C-reactive protein (CRP) recovery|Rate of Biochemical criterion (CK, ALT, Mb) recovery|Rate of undetectable viral RNA (continuous twice)|Time for hospitalization|Rate of adverse event	Tongji Hospital	All	18 Years and older   (Adult, Older Adult)	Phase 3	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GST-G1	February 9, 2020	March 1, 2020	November 9, 2020	March 11, 2020		March 17, 2020	Department and Institute of Infectious Disease, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04304313
44	NCT04365699	Cardiovascular Effects of COVID-19		Recruiting	No Results Available	COVID-19	Drug: AT-001	Proportion of subjects with decreased left ventricular ejection fraction ≥10% from baseline at time of hospitalization|Incidence of Adverse Events for patients receiving AT-001|Change in left ventricular ejection fraction|Change in left ventricular end-diastolic diameter|Change in left ventricular end-systolic diameter|Change in biomarkers of cardiac injury|Frequency of atrial fibrillation|Frequency of heart block|Frequency of non-sustained ventricular tachycardia|Frequency of sustained ventricular tachycardia|Frequency of ventricular fibrillation|Proportion of subjects requiring mechanical ventilation|Proportion of subjects with decrease in left ventricular ejection fraction ≥10% from baseline at time of hospitalization	NYU Langone Health	All	18 Years and older   (Adult, Older Adult)	Phase 2	500	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20-00416	April 8, 2020	December 31, 2020	December 31, 2020	April 28, 2020		April 28, 2020	NYU Langone Health, New York, New York, United States		https://ClinicalTrials.gov/show/NCT04365699
45	NCT04477642	Abatacept for Patients With COVID-19 and Respiratory Distress		Withdrawn	No Results Available	COVID-19	Drug: Abatacept	Mechanical ventilation-free survival|Duration of days on a ventilator|Days until pulse oxygen is > 93% on room air|Days until supplemental oxygen is no longer required|Duration of fever >= 38°C|Overall survival|Infusion reactions|Secondary infections|Change in Clinical Status, based on 7-point ordinal scale|Viral load|Radiographic Improvement	Beth Israel Deaconess Medical Center|Boston Children's Hospital|Bristol-Myers Squibb|Brigham and Women's Hospital	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	0	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020-P-00XXX	August 2020	October 2020	December 2020	July 20, 2020		July 20, 2020	Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Boston Children's Hospital, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04477642
46	NCT04365725	Multicenter, Retrospective Study of the Effects of Remdesivir in the Treatment of Severe Covid-19 Infections	REMDECO-19	Recruiting	No Results Available	COVID-19	Drug: Remdesivir	Clinical course on Day 15.|Clinical course on Day 3.|Clinical course on Day 8|Clinical course on Day 11.|Clinical course on Day 29.|Duration of treatment|Sepsis-related Organ Failure Assessment score|Duration without mechanical ventilation|Mortality|cumulative incidence of grade 3 and 4 adverse events (AEs).	Assistance Publique - Hôpitaux de Paris	All	18 Years and older   (Adult, Older Adult)		200	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	APHP200522	May 5, 2020	June 2020	June 2020	April 28, 2020		May 13, 2020	Hôpital Cochin, Paris, France		https://ClinicalTrials.gov/show/NCT04365725
47	NCT04389710	Convalescent Plasma for the Treatment of COVID-19		Recruiting	No Results Available	COVID-19	Drug: Convalescent Plasma	Number of patients who receive COVID-19 convalescent plasma transfusions in acute care facilities infected with SARS-CoV-2|Number and type of adverse events associated with COVID-19 convalescent plasma in patients with COVID-19|Length of hospital stay|Length of Intensive Care Unit stay|Length of intubation|Survival to discharge|Changes in complete blood count in patients after receiving convalescent plasma|Abnormal changes in Basic Metabolic Panel (BMP) measures in patients after receiving convalescent plasma|Changes in C-Reactive Protein (CRP) in patients after receiving convalescent plasma|Changes in d-dimer in patients after receiving convalescent plasma|Changes in fibrinogen in patients after receiving convalescent plasma|Changes in prothrombin time (PT) in patients after receiving convalescent plasma|Changes in partial thromboplastin time (PTT) in patients after receiving convalescent plasma	Thomas Jefferson University	All	18 Years and older   (Adult, Older Adult)	Phase 2	100	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20D.379	April 15, 2020	April 14, 2021	April 14, 2021	May 15, 2020		June 25, 2020	Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04389710
48	NCT04380402	Atorvastatin as Adjunctive Therapy in COVID-19	STATCO19	Not yet recruiting	No Results Available	COVID-19	Drug: Atorvastatin	Proportion of patients that progress to severe or critical requiring ICU admission and/or emergency salvage therapy, or death|Overall score of patients in each arm on Day 7 based on WHO Ordinal Scale for Clinical Improvement|Overall score of patients in each arm on Day 30 based on WHO Ordinal Scale for Clinical Improvement|Proportions of patients in each arm who test negative for SARS-CoV-2 on Day 7	Mount Auburn Hospital	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 2	300	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MountAuburn	May 20, 2020	December 31, 2021	May 8, 2022	May 8, 2020		May 22, 2020			https://ClinicalTrials.gov/show/NCT04380402
49	NCT04462757	SCIL-1Ra in COVID-19 Feasibility & PK/PD	SCIL_COV19	Active, not recruiting	No Results Available	COVID-19	Drug: Anakinra 100Mg/0.67Ml Inj Syringe	Plasma IL-1Ra levels|Plasma IL-6 levels|Plasma markers|Safety Endpoints related to the Serious adverse reactions of the IMP|Safety Endpoints related to the anaphylactic reactions of the IMP|Safety Endpoints related to neutropenia caused by the IMP|Safety Endpoints related to any severe laboratory abnormalities|Feasibility endpoints related to IMP and deviations|Exploratory Data on Clinical efficacy by time to recovery|Exploratory Data on Clinical efficacy|Exploratory Data on Clinical efficacy of the ordinal scale	University of Manchester	All	18 Years and older   (Adult, Older Adult)	Phase 2	5	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	282110|2020-001636-95	May 28, 2020	August 31, 2020	September 30, 2020	July 8, 2020		September 9, 2020	Manchester Univesity NHS Foundation Trust, Manchester, United Kingdom|Salford Royal NHS Foundation Tust, Salford, United Kingdom		https://ClinicalTrials.gov/show/NCT04462757
50	NCT04354805	Administration of Chlorpromazine as a Treatment for COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Chlorpromazine	Clinical improvement	Cairo University|Noha Mahmoud Nasreldin Hassan	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	Medical	August 1, 2020	October 2020	November 2020	April 21, 2020		July 8, 2020	Cairo University, Cairo, Egypt		https://ClinicalTrials.gov/show/NCT04354805
51	NCT04356690	Etoposide in Patients With COVID-19 Infection		Recruiting	No Results Available	COVID-19	Drug: Etoposide	Change in pulmonary status|Change in ferritin levels|Change in C-reactive protein levels|Change in d-dimer levels|Change in white blood cell count|Incidence of serious adverse events|Overall survival|Length of hospitalization|Duration of ventilation|Ventilator free days|Improvement in arterial oxygen partial pressure (PaO2) to fractional inspired oxygen (FiO2)	Boston Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 2	64	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	H-40102	May 8, 2020	December 2020	December 2021	April 22, 2020		September 4, 2020	Boston Medical Center, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04356690
52	NCT04412785	Cyclosporine in Patients With Moderate COVID-19		Recruiting	No Results Available	COVID-19	Drug: Cyclosporine	Safety-oxygen, ICU transfer and ventilation|Safety-changes in absolute lymphocyte count|Safety-changes in creatinine clearance|Safety-secondary bacterial infections|Laboratory measurements of safety and antiviral efficacy related to COVID-19-SARS-CoV-2 by measuring the clearance of SARS-CoV-2 from respiratory secretions|Laboratory measurements-D-dimer levels|Laboratory measurements-ferritin|Laboratory measurements- IL-6	University of Pennsylvania	All	18 Years and older   (Adult, Older Adult)	Phase 1	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	842998	June 22, 2020	September 2020	December 2020	June 2, 2020		June 29, 2020	University of Pennsylvania, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04412785
53	NCT04383002	High Dose Inhaled Nitric Oxide for COVID-19 (ICU Patients)		Recruiting	No Results Available	COVID-19	Drug: Nitric Oxide	COVID-19 PCR status at completion of treatment (day 7) from tracheal aspirate	University Health Network, Toronto	All	18 Years and older   (Adult, Older Adult)	Phase 1	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20-5449	September 2, 2020	December 2020	December 2020	May 11, 2020		September 11, 2020	University Health Network, Toronto General Hospital, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT04383002
54	NCT04427865	Utility of Lactoferrin as a Preventive Agent for Healthcare Workers Exposed to COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: prophylactic lactoferrin daily	Incidence of SARS-CoV-2|Severity of disease in confirmed infected participants	Cairo University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2|Phase 3	200	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	CUKA-002	July 2020	September 2020	November 2020	June 11, 2020		June 16, 2020			https://ClinicalTrials.gov/show/NCT04427865
55	NCT04362085	Coagulopathy of COVID-19: A Pragmatic Randomized Controlled Trial of Therapeutic Anticoagulation Versus Standard Care		Recruiting	No Results Available	COVID-19	Drug: Therapeutic Anticoagulation	Composite outcome of ICU admission (yes/no), non-invasive positive pressure ventilation (yes/no), invasive mechanical ventilation (yes/no), or all-cause death (yes/no) up to 28 days.|All-cause death|Composite outcome of ICU admission or all-cause death|Major bleeding|Number of participants who received red blood cell transfusion|Number of participants with transfusion of platelets, frozen plasma, prothrombin complex concentrate, cryoprecipitate and/or fibrinogen concentrate.|Renal replacement therapy|Number of hospital-free days alive up to day 28|Number of ICU-free days alive up to day 28|Number of ventilator-free days alive up to day 28|Number of organ support-free days alive up to day 28|Number of participants with venous thromboembolism|Number of participants with arterial thromboembolism|Number of participants with heparin induced thrombocytopenia|Changes in D-dimer up to day 3	St. Michael's Hospital, Toronto|University of Vermont Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 3	462	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RAPID COVID-COAG	May 11, 2020	November 2020	December 2020	April 24, 2020		September 4, 2020	St. Michael's Hospital, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT04362085
56	NCT04351620	High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19		Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	Tolerability of high dose HCQ as measured by HCQ dose modification|Tolerability of high dose HCQ as measured by discontinuation of HCQ|Tolerability of High Dose HCQ as measured by Adverse Events|Rate of hospitalization due to COVID-19 as measured by number of patients hospitalized|Time to defervescence as measured in days while on treatment protocol|Resolution of other COVID-19 symptoms measured in days while on treatment protocol	University of Chicago	All	18 Years and older   (Adult, Older Adult)	Phase 1	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB20-0572	April 2020	June 2020	June 2020	April 17, 2020		April 17, 2020	University of Chicago, Chicago, Illinois, United States		https://ClinicalTrials.gov/show/NCT04351620
57	NCT04363216	Pharmacologic Ascorbic Acid as an Activator of Lymphocyte Signaling for COVID-19 Treatment		Not yet recruiting	No Results Available	COVID-19	Drug: Ascorbic Acid	Clinical Improvement|Patient status upgraded to ICU level [Clinical decline]|Oxygen supplementation|Days with fever|Days to discharge|SAEs	Thomas Jefferson University	All	18 Years and older   (Adult, Older Adult)	Phase 2	66	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	JT#15681	May 2020	May 2021	May 2021	April 27, 2020		May 5, 2020			https://ClinicalTrials.gov/show/NCT04363216
58	NCT04552951	Effect of Vitamin D on Morbidity and Mortality of the COVID-19	COVID-VIT-D	Recruiting	No Results Available	COVID-19	Drug: Cholecalciferol	Mortality|Admission to Intensive Care Unit (ICU)|Time of hospitalization|Clinical changes|Radiological changes|Calcidiol changes|Inflammation markers changes (CRP)|Inflammation markers changes (IL-6)|Inflammation markers changes (Leucocytes)|Inflammation markers changes (D-dimer)|General biochemical parameters changes (Creatinine)|General biochemical parameters changes (Ferritin)|General biochemical parameters changes (Bilirubin)|General biochemical parameters changes (Albumin)|General biochemical parameters changes (Haemoglobin)|General biochemical parameters changes (HDL cholesterol)|General biochemical parameters changes (Procalcitonin)|General biochemical parameters changes (Protonin)|General biochemical parameters changes (Calcium)|General biochemical parameters changes (Phosphate)|General biochemical parameters changes (pO2)	Fundación para la Investigación Biosanitaria del Principado de Asturias|Hospital Universitario Central de Asturias|Instituto de Investigación Sanitaria del Principado de Asturias	All	Child, Adult, Older Adult	Phase 4	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	2020-019-PF-CAANJ	April 4, 2020	September 14, 2020	December 30, 2020	September 17, 2020		September 17, 2020	Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain		https://ClinicalTrials.gov/show/NCT04552951
59	NCT04374903	Hydroxychloroquine in Combination With Azithromycin or Sirolimus for Treating COVID-19 Patients	COVID19-HOPE	Not yet recruiting	No Results Available	COVID-19 Patients	Drug: HCQ & AZ vs HCQ+SIR	Time to Clinical improvement (TTCI)|Clinical failure defined as death or need for Intubation and mechanical ventilation|Adverse effects|QT interval prolongation|Failure to continue assigned therapy|Time to viral clearance	King Hussein Cancer Center	All	18 Years and older   (Adult, Older Adult)	Not Applicable	58	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20 KHCC 74	May 1, 2020	August 1, 2020	September 1, 2020	May 5, 2020		May 5, 2020	King Hussein Cancer Center, Amman, Jordan		https://ClinicalTrials.gov/show/NCT04374903
60	NCT04354597	Hydroxychloroquine and Azithromycin as Prophylaxis for Healthcare Workers Dealing With COVID19 Patients	MOPHYDA	Not yet recruiting	No Results Available	COVID-19	Drug: HCQ & AZ	Effect of HCQ and AZ in preventing infection with COVID-19 among healthcare workers working with COVID-19 patients|Safety of HCQ and AZ|Oxygen requirement|ICU admission|Mortality rate	King Hussein Cancer Center	All	25 Years to 70 Years   (Adult, Older Adult)	Not Applicable	200	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	20 KHCC 67	May 1, 2020	August 15, 2020	October 15, 2020	April 21, 2020		May 5, 2020	King Hussein Cancer Center, Amman, Jordan		https://ClinicalTrials.gov/show/NCT04354597
61	NCT04492254	Early Prophylactic Low-molecular-weight Heparin (LMWH) in Symptomatic COVID-19 Positive Patients	ETHIC	Not yet recruiting	No Results Available	COVID-19	Drug: Enoxaparin	Hospital Admission|Death|Bleeding (as defined by ISTH criteria)|Diagnosis of VTE	Thrombosis Research Institute|Sanofi	All	55 Years and older   (Adult, Older Adult)	Phase 3	1370	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TRI-08892|2020-003125-39	July 2020	January 2021	July 2021	July 30, 2020		July 30, 2020			https://ClinicalTrials.gov/show/NCT04492254
62	NCT04333225	Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers		Active, not recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	Rate of COVID-19 positive conversion|Time-to-first clinical event	Baylor Research Institute	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2	228	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	020-132	April 3, 2020	July 30, 2020	July 30, 2020	April 3, 2020		May 5, 2020	Baylor University Medical Center, Dallas, Texas, United States		https://ClinicalTrials.gov/show/NCT04333225
63	NCT04377659	Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection		Recruiting	No Results Available	COVID-19	Drug: Tocilizumab	Progression of respiratory failure or death	Memorial Sloan Kettering Cancer Center	All	18 Years and older   (Adult, Older Adult)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20-185	May 1, 2020	May 1, 2021	May 1, 2021	May 6, 2020		August 21, 2020	Memorial Sloan Kettering Cancer Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT04377659
64	NCT04474457	Efficacy and Safety of Favipiravir in the Treatment of COVID-19 Patients Over 15 Years of Age		Recruiting	No Results Available	COVID-19	Drug: Favipiravir	Time to recovery (discharge)|Decrease in viral load|Adverse Event (AE), Serious Adverse Event (SAE) and discontinuation of treatment|Frequency of occurrence of lymphopenia from baseline|Frequency of occurrence of thrombocytopenia from baseline|Changes in alanine aminotransferase (ALT) levels from baseline|Changes in aspartate aminotransferase (AST) levels from baseline|Changes in C-reactive protein (CRP) levels from baseline|Changes in level of D-dimer levels from baseline|Changes in prothrombin time (PT) values from baseline|Changes in partial thromboplastin time (PTT) values from baseline|Changes in blood pressure from baseline|Changes in respiratory rate from baseline|Changes in pulse oximetry from baseline|Changes in fever from baseline	Ministry of Health, Turkey|Hacettepe University, School of Medicine|Prof. Dr. Cemil Tascıoglu City Hospital|Umraniye Training and Research Hospital|Istanbul Training and Research Hospital|Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey|Tepecik Training and Research Hospital|Istanbul University-Cerrahpasa, Cerrahpasa Faculty of Medicine|Ankara University|Ankara City Hospital Bilkent|Ankara Training and Research Hospital|Ege University Hospital (Application and Research Center)|Derince Training and Research Hospital|Istanbul University, Istanbul Faculty of Medicine|Kayseri City Hospital	All	15 Years and older   (Child, Adult, Older Adult)		1000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVID-19-PMS-FAV	June 11, 2020	September 30, 2020	September 30, 2020	July 16, 2020		July 20, 2020	Hacettepe University, School of Medicine, Ankara, Turkey		https://ClinicalTrials.gov/show/NCT04474457
65	NCT04348448	Observational Study, Use of Canakinumab Administered Subcutaneously in the Treatment COVID-19 Pneumonia		Not yet recruiting	No Results Available	COVID-19	Drug: Canakinumab 150 MG/ML [Ilaris]	intensive care treatment|ICU stay times|% died after 1 month after treatment|hospitalization|adverse event	AUSL Romagna Rimini	All	18 Years to 100 Years   (Adult, Older Adult)		100	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	CANASCOV	April 2020	July 2020	September 2020	April 16, 2020		April 16, 2020			https://ClinicalTrials.gov/show/NCT04348448
66	NCT04432766	A Phase 1/2 Study to Assess Safety and Efficacy of BAT2020 in Hospitalized COVID-19 Patients		Not yet recruiting	No Results Available	COVID-19	Drug: BAT2020	Incidence of adverse events (AEs)	Bio-Thera Solutions	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	174	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	BAT-2020-001-CR	October 20, 2020	January 20, 2021	August 18, 2021	June 16, 2020		September 29, 2020	Snake River Research, Idaho Falls, Idaho, United States		https://ClinicalTrials.gov/show/NCT04432766
