PREDICATE,SUBJECT_TEXT,OBJECT_TEXT,SENTENCE,LABEL
PROCESS_OF,eosinophilia,patients,"Adverse effects were pruitus in two patients, transient elevation of LDH in one,       and transient eosinophilia in another.",1
PROCESS_OF,myoclonic jerks,patients,"Three patients with spinal myoclonic jerks       are described, with detailed reference to electromyographic findings.",1
PROCESS_OF,cerebral lesions,rabbit,"The accidental cerebral lesions in the rabbit, of a wide variety,       and of frequent occurrence, are to be regarded as existing before any       experimental procedure is begun.",1
PROCESS_OF,partial seizures,patients,"MAIN RESULTS: Magnetic resonance imaging probably is superior to computed       tomography for detection and characterization of posterior fossa lesions and       spinal cord myelopathies, imaging in multiple sclerosis, detecting lesions in       patients with refractory partial seizures, and detailed display for guiding       complex therapy, as for brain tumors.",1
COEXISTS_WITH,hearing,suppurations,[Surgical restoration of hearing in chronic suppurations of the middle ear].,0
PROCESS_OF,cataract,patients,Early ambulation of postoperative cataract patients.,1
TREATS,nasogastric intubation,paralytic ileus,"The value of nasogastric intubation in the treatment of paralytic ileus and in       some cases of mechanical obstruction, as well as in the preparation of obstructed       patients for operation, cannot be denied.",1
USES,therapy,digoxin,Human myocardium and plasma digoxin concentration in patients on long-term       digoxin therapy.,1
USES,treatment,alkylating agents,"Formation of poly(ADPR) proteins, on the other hand,       was stimulated by treatment of cells with alkylating agents which lead to       DNA-fragmentation.",1
PROCESS_OF,hypertension,patients,In 8 patients with moderate hypertension and 8 normotensive subjects an attempt       was made to study the circulatory effects of high and low pressure baroreceptor       stimulation.,1
PROCESS_OF,retroviruses,murine,"Hybrid lines producing antibody to       p30, the major core polypeptide of murine retroviruses, were obtained by cloning.",0
TREATS,agents,psoriasis,Ro 20-1724 and other cyclic       nucleotide-altering agents may have therapeutic potential in the future treatment       of psoriasis.,1
TREATS,clonidine,dependence,"Tenfold differences were found between phenylephrine, clonidine,       and guanabenz for dependence on alpha 1-receptors.",0
PROCESS_OF,malignant pancreatic endocrine tumours,patients,"Six healthy subjects, 23 members of three MEA I       families, seven patients with malignant pancreatic endocrine tumours and four       patients with carcinoid tumours of the gastrointestinal tract were subjected to a       standardized test meal, followed by intravenous atropine 60 min after the start       of the meal.",1
USES,treatment,NFLX,"In the effect of NFLX on WBCs in EPS,       40-50% of patients got free from the inflammation of prostate by NFLX treatment.",1
PROCESS_OF,parturition,rats,Endocrine regulation of the onset of parturition in rats.,1
USES,protein blotting,antiserum,"SDS-PAGE showed the fibrils to consist of a 55,000-dalton protein       recognizable in the four serogroups tested by protein blotting with an antiserum       made against the PAGE-separated protein.",1
PROCESS_OF,symptoms,patient,Ischemic symptoms in this patient       were effectively terminated with anticoagulant therapy.,1
PROCESS_OF,hydatidosis,livestock,"The epidemiological picture       and the economic consequences of hydatidosis in man and livestock, a damage of 28       billions of liras per year, strongly suggest this disease as a major public       health problem in Sardinia.",1
PROCESS_OF,pregnancy,rats,"Treatment of these rats with alpha-methyl-p-tyrosine, reserpine, or haloperidol       for 1 or 2 days after mating increased the interestrous interval by a few days in       all rats and to more than 8 days (leading to pseudopregnancy or pregnancy) in 20%       of the cases.",1
PROCESS_OF,peripheral       neuropathy,patients,Three groups of patients were studied: nine patients without       peripheral or autonomic neuropathy or retinopathy; nine patients with peripheral       neuropathy; and seven patients with peripheral and autonomic neuropathy.,1
COEXISTS_WITH,amiloride,bicarbonate,"When sodium       is removed from the incubation medium, intracellular pH does not recover, and       when the cells are treated with 10(-3) mol l-1 amiloride in the presence of       sodium, carbon dioxide and bicarbonate, the intracellular pH recovery is       drastically reduced.",1
COEXISTS_WITH,surgery,management,Conservation surgery of the larynx describes various surgical techniques which       are generally used in the management of neoplastic conditions involving the       larynx or the laryngopharynx.,1
PROCESS_OF,exit block,patients,Ten       patients had persistent and inappropriate sinus bradycardia (group I): twelve       patients had episodes of prolonged sinus arrest (group II); and seven patients       had repeated episodes of Mobitz type I or II sinoatrial exit block (group III).,1
USES,treatment,chloramphenicol,"Of the 25       Campylobacter-infected English Foxhounds in the study, 9 were assigned to       erythromycin treatment, 9 to chloramphenicol treatment, and 7 to no treatment.",1
PROCESS_OF,shoulder dislocation,patients,[The clicking symptom in patients with habitual shoulder dislocation].,1
TREATS,therapy,myocardial infarction,Hemodynamic benefits and prolonged survival with long-term captopril therapy in       rats with myocardial infarction and heart failure.,1
COEXISTS_WITH,amino acid,calves,"Blood-cell total amino acid change across       hindlimbs showed no treatment differences, although BCAA changed from large       outputs from the blood cells in soy-fed calves to essentially zero change in       urea-fed calves.",1
TREATS,drainage procedures,patient,"Despite a long       delay in diagnosis, antibiotic treatment without drainage procedures resulted in       complete cure in one patient and cure with some impairment in the other.",0
PROCESS_OF,infections,Brugia pahangi,Lack of activity against L. carinii microfilaria and adult Brugia pahangi       infections preclude further work in this area pending evaluation in additional       experimental models.,0
COEXISTS_WITH,nitrogen,pyrroles,"Pyrroles and related pi-excessive N-heteroaromatics are substrates for       electrophilic enzymic ring hydroxylations mediated by cytochrome P-450, but the       acidic ring nitrogen in pyrroles is not normally a site for metabolic attack.",1
TREATS,Transplantation,mice,[Transplantation of adenomatous tumors of the lung in mice].,0
PROCESS_OF,neurological disorders,patients,"Cerebrospinal fluid (CSF) from 115 patients with several neurological disorders       were tested for the presence of myelin basic protein (MBP), fragment P1 43-88.",1
PROCESS_OF,tic douloureux,patients,"Electrical stimulation was used for quantitative assessment of facial sensibility       before, during and after percutaneous electrocoagulation of the Gasserian       ganglion in 19 patients with tic douloureux.",1
USES,therapy,strophanthin,[Experiments in renewal of oral strophanthin therapy].,1
PROCESS_OF,separation,mosquito,Induction of follicle separation in the mosquito by physiological amounts of       ecdysterone.,1
TREATS,Nifedipine,unstable angina,Nifedipine and metoprolol in suspected unstable angina.,0
TREATS,insulin,rat,The influence of glucose and insulin pretreatment upon morphine analgesia in the       rat.,1
PROCESS_OF,fever,children,"Most children with       supraclavicular adenopathy, children sick with fever of one week's duration or       with weight loss for which a specific diagnosis is not readily made, and some       children with fixation of the lymph node to the overlying skin should undergo       early biopsy.",1
USES,general anaesthesia,thiopentone,"Sixty elderly patients were given at random either epidural analgesia with       bupivacaine 0.75% or general anaesthesia with thiopentone, fentanyl, pancuronium,       N2O/O2 for total hip replacement.",1
PROCESS_OF,repair,patients,"Pulmonary vascular structure was analysed in the lungs of 12 patients who had had       a Fontan repair, 11 of whom died.",0
TREATS,Phosphorus,rat,Phosphorus (31P) nuclear magnetic resonance (NMR) spectroscopy was used to       serially evaluate heterotopic renal allograft rejection in the rat.,0
TREATS,prolactin,rats,Adrenal influence on pituitary secretion of thyrotropin and prolactin in rats.,0
USES,combined drug treatment,drug,"Examination of plasma corticosterone titers indicated that chronic       stress induced an elevation of basal levels and that this was reversed by       amitriptyline, scopolamine, and combined drug treatment.",0
PROCESS_OF,retinal vascular lesions,spontaneously hypertensive rats,Early sucrose-induced retinal vascular lesions in spontaneously hypertensive rats       (SHR) and Wistar Kyoto rats (WKY).,1
COEXISTS_WITH,disorders,localized lesions,[Bladder function disorders in variously localized lesions of the central nervous       system].,1
PROCESS_OF,contractility,children,"[Interrelation of systolic pressure in the pulmonary artery, venous admixture       (shunting in the lungs, contractility and metabolic activity of the right       ventricle myocardium in children with chronic bronchitis and bronchiectasis].",1
PROCESS_OF,lymphocytic thyroiditis,child,[Particular aspects of a case of lymphocytic thyroiditis in a child].,1
COEXISTS_WITH,saccular aneurysms,intracranial aneurysms,"Dissecting       intracranial aneurysms rarely are associated with saccular aneurysms and, to our       knowledge, have not been reported in association with polycystic kidney disease.",1
PROCESS_OF,spinal cord injury,persons,Acute phase management of persons with spinal cord injury: a nursing diagnosis       perspective.,1
COEXISTS_WITH,acute renal failure,abdominal injuries,"Frequently the associated injury may dictate a need for nephrectomy when       a complicated procedure would be necessary for repair of the kidney, but one       should always keep in mind the high incidence of acute renal failure found in       penetrating abdominal injuries and make a maximum effort to converse renal       parenchyma in these patients.",1
USES,therapy,moxalactam,"Enterococcal superinfection and colonization after therapy with moxalactam, a new       broad-spectrum antibiotic.",1
TREATS,cholecystectomy,patients,Charts       of 100 consecutive patients who underwent cholecystectomy and common duct       exploration from January 1982 through December 1986 were reviewed.,1
PROCESS_OF,cold agglutinin disease,patient,Successful plasma exchange for a patient with chronic demyelinating       polyneuropathy and cold agglutinin disease due to anti-Pra.,1
TREATS,cis-platinum,CR,All the CR patients were       treated with cis-platinum and 5-fluorouracil (5-FU) infusion.,1
TREATS,plasma       exchange,BV,"Second, the retinopathy       in a patient with Waldenstrom's macroglobulinaemia (WM) improved after plasma       exchange with little change in BV.",0
TREATS,Drainage,hydrocephalus,[Drainage between the dural sac and abdominal cavity in hydrocephalus in       children].,0
PROCESS_OF,type IIa hyperlipoproteinemia,individuals,Comparison of the clinical course of       ischemic heart disease with the peculiarities of the changes in the blood lipid       content revealed a higher incidence of recurrent myocardial infarction and sudden       death among individuals with type IIa hyperlipoproteinemia.,1
PROCESS_OF,retinopathy,patients,"Our data suggest that functional visual deficits might       precede background retinopathy and that the involvement of foveal function is       early and very frequent in diabetic patients, even if they have normal visual       acuity.",1
PROCESS_OF,degenerative changes,patients,Aortic valve       replacement is needed only in patients with severe degenerative changes.,1
TREATS,therapy,polymyositis,Methotrexate therapy in polymyositis.,1
TREATS,ifosfamide,squamous cell bronchogenic carcinoma,Failure of response to ifosfamide in squamous cell bronchogenic carcinoma.,0
TREATS,therapy,disease,[Hydrolysate therapy in disease in the aged].,1
TREATS,TAP,patient,"Among six patients with TAP, the size of a recess was small       in two and large in one patient.",1
PROCESS_OF,pneumopericardium,infants,"Case reports of all infants admitted to the NICU from 1971 to 1982, who developed       a pneumopericardium (PPC) while receiving intermittent positive-pressure       ventilation, were reviewed in order to determine those variables of assisted       ventilation associated with the occurrence of PPC.",1
TREATS,Neuroleptics,schizophrenia,Neuroleptics in the treatment of schizophrenia.,1
USES,oral surgical procedures,enflurane,Our experience suggests that enflurane may be the       preferred anesthetic agent both for minor dental procedures in outpatients as       well as for major oral surgical procedures in hospitalized patients.,1
PROCESS_OF,disease,children,Most children had preexisting disease and       did have pneumonia.,1
TREATS,diagnosis,patients,The diagnosis of       ocular lymphoma was based on pathologic material from the eye in 5 cases or from       central nervous system biopsy in 4 patients in association with tumor cell       infiltrates in the retina and vitreous clouding.,0
PROCESS_OF,Sleep,patients,Sleep in brain-damaged patients.,1
TREATS,L-asparaginase,mice,"Spleen focus assays with a mouse leukemia virus in mice treated with actinomycin       D, L-asparaginase or rifampicin.",1
PROCESS_OF,breast-feeding behavior,women's,Sociopsychological determinants of women's breast-feeding behavior: A replication       and extension.,1
USES,supplementation,vitamin B6,The effects of vitamin B6 supplementation on premenstrual symptoms.,1
PROCESS_OF,positive chronotropic,adult       animals,"with the shortest pulses (0.02       ms), the sympathetic innervation of the young hardly reacted at all, while adult       animals had a marked positive chronotropic reaction; 2.",1
COEXISTS_WITH,vascular anomalies,Brain tumors,Brain tumors associated with intracranial vascular anomalies.,1
USES,detection,glucose-6-phosphatase,"This study was designed to investigate the histochemical,       biochemical and morphologic features of the altered liver cells with particular       emphasis on the importance and validity of the histoenzymatic behavior of       glucose-6-phosphatase (G6Pase) as a marker for the detection of precancerous       hepatic cells.",1
TREATS,PROPIONIC ACID,CARCINOGENIC EFFECT,"[CHOLANTHRYL-(5)-ACETIC ACID AND CHOLANTHRYL-(5)-PROPIONIC ACID, THEIR SYNTHESIS       AND APPRAISAL FOR CARCINOGENIC EFFECT].",0
TREATS,surgical treatment,hypertension,"Experiences with the surgical treatment of various types of aortitis syndrome,       such as operation for cerebrovascular insufficiency (7 cases), for hypertension       produced by coarctation or renovascular stenosis (14 cases), for aortic       regurgitation (2 cases), and for aneurysm (7 cases) were analyzed.",1
USES,treatment,antiarrhythmic,"Oral antiarrhythmic treatment with mexiletine and disopyramide was evaluated in       34 patients with recurrent sustained ventricular tachycardias by programmed       ventricular stimulation, except in a few instances where spontaneous attacks       occurred under therapy.",0
PROCESS_OF,cirrhosis,patients,The responses of plasma aldosterone and plasma prolactin concentrations to       metoclopramide (10 mg intravenously) were evaluated over 2 h in eight healthy       controls and in 23 patients with cirrhosis (10 without and 13 with ascites).,1
USES,treatment,penicillin,METHOD of preparing penicillin for treatment.,1
PROCESS_OF,Trypanosoma cruzi infection,dogs,Trypanosoma cruzi infection in dogs and cats and household seroreactivity to T.       cruzi in a rural community in northeast Brazil.,1
TREATS,peridural anesthesia,obstetrics,Comparative effects of prilocaine and lidocaine during peridural anesthesia       for obstetrics.,0
USES,titration method,aluminum,For aluminum the precision was 1.4 versus 0.62% for the       titration method.,0
TREATS,Almitrine bismesylate,cor pulmonale,Almitrine bismesylate and oxygen therapy in hypoxic cor pulmonale.,1
USES,plates,Nylon,Nylon plates and straps for internal fixation of osteoporotic bone.,0
DIAGNOSES,bleeding time,disease,The long       bleeding time in vW disease highlights the absolute requirement for vWf and       emphasizes the difference in exposure of GPrIIb/IIIa induced by shear stress.,0
PROCESS_OF,filariasis,human,A microhematocrit tube technique for diagnosis of human filariasis has been       previously described.,1
DIAGNOSES,Immunofluorescence,primary localized cutaneous amyloidosis,Immunofluorescence studies in primary localized cutaneous amyloidosis.,0
DIAGNOSES,angiography,congenital heart disease,"In spite of the prominent position reached by echocardiography in the anatomical       and functional diagnosis of congenital heart disease, angiography remains the       reference method for preoperative assessment of most cardiovascular       malformations.",1
PROCESS_OF,opsonisation,yeast,"The severity of defects in yeast       opsonisation, C4, and factor B activity at presentation were significantly       correlated with the subsequent development of infection.",1
PROCESS_OF,anaesthesia,patients,The management and the complications of anaesthesia in 77 patients       over a 3-year period are presented.,1
USES,blood transfusion,iron dextran,Total dose infusion of iron dextran as a substitute for blood transfusion.,0
PROCESS_OF,achalasia,patients,Patients       with achalasia had significantly smaller perimeter than controls or reflux       esophagitis  patients (p less than 0.001).,1
PROCESS_OF,Erb-Duchenne palsy,infants,One in six infants of diabetic gravidas who       sustained shoulder dystocia experienced an Erb-Duchenne palsy.,1
USES,treatment,prednisone,Under treatment with cyclosporine and prednisone the       patient became asymptomatic and radiographic changes of the chest normalized.,1
COEXISTS_WITH,Adenine,phosphoribosyltransferase,Adenine and adenosine metabolism in intact erythrocytes deficient in adenosine       monophosphate-pyrophosphate phosphoribosyltransferase: a study of two families.,1
TREATS,Ramstedt procedure,hypertrophic pyloric stenosis,Surgical approach for the Ramstedt procedure in hypertrophic pyloric stenosis.,1
USES,treatment,adenine arabinoside,Topical treatment with either adenine arabinoside or adenine arabinoside       5'-monophosphate at a dose of 500 mg/kg in saline or as a 10% cream failed to       alter viral replication in the genital tract or to protect the mice from death       due to encephalitis.,1
PROCESS_OF,strangulated inguinal hernia,infants,Incarcerated and strangulated inguinal hernia in infants: a preventable risk.,1
USES,blood sugar profiles,sugar,"It was clearly shown, that the       patients on Uroflux tea showed no changes in daily blood sugar profiles.",0
COEXISTS_WITH,Septic arthritis,rheumatoid disease,Septic arthritis in rheumatoid disease.,1
TREATS,Infusion,rats,"Infusion of sorbitol       (2 mM), a glycogenic substrate in fasted rats, stimulated oxygen uptake about       3-fold.",0
COEXISTS_WITH,Malignant organ neoplasms,chronic lymphatic leukemia,[Malignant organ neoplasms in chronic lymphatic leukemia].,1
USES,treatment,6-OHDA,"The splenic norepinephrine (NE) concentration was markedly reduced by       the 6-OHDA treatment at 1 to 3 weeks, while there was a significant recovery in       the splenic NE concentration at 5 weeks.",1
TREATS,Aureomycin,Amoebic Dysentery,Aureomycin in Amoebic Dysentery.,1
TREATS,dactinomycin,germ-cell tumors,"One hundred sixty-six patients with germ-cell tumors (GCT) of the testis,       retroperitoneum, and mediastinum were treated with cyclophosphamide, vinblastine,       bleomycin, dactinomycin, and cisplatin (VAB-6), with and without maintenance       chemotherapy.",1
USES,indirect immunofluorescence,vaccine,Monoclonal antibodies directed either against the nucleocapsid or the       glycoprotein of rabies virus were reacted by indirect immunofluorescence and       mouse neutralization tests with vaccine strains and rabies field isolates of       various origin.,0
COEXISTS_WITH,ribonucleoprotein,EGTA,"Modification in the presence of 2 mM EGTA released       all the DNA and RNA [less than or equal to 1% remaining) while retaining       structures characteristic of nuclear matrix, nucleoli, and ribonucleoprotein       (predominantly hnRNA group A and B).",1
TREATS,irradiation,esophageal cancer,Surgical treatment combined with preoperative concentrated irradiation for       esophageal cancer.,1
TREATS,vincristine,diffuse histiocytic lymphoma,"Thirty-one patients with stage III and IV diffuse histiocytic lymphoma (DHL) were       treated uniformly with cyclophosphamide, adriamycin, vincristine, and prednisone       (CHOP).",1
DIAGNOSES,fluorography,urolithiasis,[Role of large-frame fluorography in studying the degree of severity in       urolithiasis].,1
COEXISTS_WITH,Clopamide,Pindolol,"Viskaldix, a combination of Pindolol (Visken)--10 mg with Clopamide--5 mg, was       administered to 15 patients with arterial hypertension.",1
TREATS,selenomethionine,rats,The effect of dietary methionine (Met) on the Biopotency of selenium (Se) from       selenite and selenomethionine (Se-Met) was studied in rats fed a 30% torula       yeast-based diet containing 0.24% Met and less than 0.02 ppm Se.,0
USES,treatment,normal saline,Epinephrine and norepinephrine were       measured before and 30 minutes after treatment with aminophylline (15 mg/kg) or       normal saline.,1
COEXISTS_WITH,hydrazine,DNA,The treatment of rats with hepatotoxic doses of hydrazine (NH2-NH2) induces the       rapid formation of 7-methylguanine and O6-methylguanine in liver DNA.,0
PROCESS_OF,cancer,patients,The activity of reconstructed glyceraldehyde phosphate dehydrogenase and lactate       dehydrogenase reactions was studied as affected by immunoglobulin G of blood       serum from patients with cancer and protein positively reacting in sedimentation       test for cancer which is one of its subfractions.,1
USES,scanning,hydrogen peroxide,Experimental tumor scanning with intraarterial hydrogen peroxide and 131-I HSA.,1
PROCESS_OF,abuse,adolescents,"Patterns of use, abuse and dependence among adolescents are reviewed.",1
PROCESS_OF,embolism,patients,Three patients sustained a late systemic       embolism (0.6% per patient-year).,1
PROCESS_OF,senile dementia of the Alzheimer's type,patients,"Preliminary results for 7       patients with senile dementia of the Alzheimer's type (SDAT) and 3 elderly normal       subjects indicated a large, statistically significant (p < 0.01) diminution in       rate of glucose utilization in SDAT.",1
TREATS,Combined antibiotic-cortisone therapy,asthma,Combined antibiotic-cortisone therapy in infectious asthma; the rationale of its       early application.,1
PROCESS_OF,malignant lymphoma,children,"The diagnosis of a malignant lymphoma       disorder in children under the age of five should alert clinicians to the       possibility of immune deficiency and, even in the absence of classical physical       signs, to AT in particular.",1
PROCESS_OF,acute       graft-versus-host disease,rat,"Kinetics of mast cell, fibroblast, and epidermal cell proliferation during acute       graft-versus-host disease in the neonatal rat.",1
PROCESS_OF,malignant glial neoplasms,patients,These data indicate that       patients with malignant glial neoplasms manifest a cellular immune response to       glioma-associated antigens which can be measured by the tube leukocyte adherence       inhibition assay and that leukocyte adherence inhibition assay may render       additional useful information in diagnostic and prognostic evaluation of       malignant glial neoplasms.,1
PROCESS_OF,impaired glucose tolerance,persons,Many predictor variables and their interactions were       analyzed along with the reasons for the high plasma uric acid levels in persons       with impaired glucose tolerance and for the low plasma uric acid levels in       diabetic patients.,1
TREATS,steroids,proctocolitis,"When       oral steroids are indicated for active proctocolitis, 40 mg prednisolone, as a       single dose each morning can be recommended.",1
USES,premedication,Flunitrazepam,Flunitrazepam could be useful for oral premedication of patients before       regional anaesthesia.,1
TREATS,operation,Meniere's disease,Meniere's disease treated by Portmann's operation; report and clinicopathological       study of a case.,1
COEXISTS_WITH,autoimmunity,syndromes,"Current concepts of the relation of       autoimmunity to rheumatic fever, postcardiotomyand postinfarction syndromes and       cardiomyopathies.",1
USES,stimulation,adrenoceptor,Responsiveness to beta-adrenoceptor stimulation was also       determined in each subject by measurement of heart rate responses to bolus       injections of isoprenaline.,0
TREATS,gastrostomy,patients,Ninety-two patients were initially treated by       gastrostomy.,1
USES,neutralisation tests,antisera,Since these strains represent one or more new serotypes they had not been       identified by neutralisation tests using antisera to known IBV serotypes.,1
PROCESS_OF,Acute leukemia,adults,[Acute leukemia and Burkitt's type malignant lymphoma. Apropos of 4 cases in       adults].,1
USES,detection,reagin,It is concluded       that sera which give reactive results to reagin detection tests for syphilis and       come from patients known to have conditions which cause acute or chronic       biological false positive reactions should never be dismissed as such.,0
PROCESS_OF,brain tumors,human,"Basal, cAMP- and cGMP-dependent protein kinases in human brain tumors.",1
PROCESS_OF,oxygen transport,patients,"The paper presents data on central hemodynamics, blood pulmonary shunting and       evaluation of oxygen transport in 30 patients with myelotoxic agranulocytosis.",1
COEXISTS_WITH,enkephalin,rim,"In the adrenal gland of the intact fetal sheep and the       newborn lamb, there was intense staining with anti-enkephalin in the peripheral       rim of adrenal medullary cells.",1
TREATS,indomethacin,rat,"We found that: 1) adherent spleen cells from uremic rats display a more potent       suppressor activity than do control adherent cells; 2) the suppression that is       mediated by uremic adherent spleen cells cannot be eliminated by pretreatment       with indomethacin, whereas the suppression that is mediated by naturally present       adherent cells in the control rat is reversed by pretreatment with indomethacin;       3) the uremic adherent suppressor cell does not have Ia antigens that can be       detected by the monoclonal antibodies OXL, whereas control adherent cells have Ia       antigens on their surface; 4) both the control and uremic adherent suppressor       cells are insensitive to mitomycin C and do not have any detectable levels of Thy       1 antigens on their surface.",1
TREATS,CP,mice,"The peritoneal cell-free       fluid of mice treated with CP and coxsackievirus B-3 for 24 hours, contained less       virus than the fluid from mice injected with virus alone.",1
TREATS,medications,epilepsy,Antiepileptic medications were discontinued in 88 children with epilepsy of       various causes who had been free of seizures for two to four years.,1
USES,IP insulin administration,insulin,"Thus, the effects of IP insulin administration have been       compared with the effects of subcutaneous (SC) insulin administration upon       circulating fuel metabolites, hormones and lipoproteins.",0
TREATS,physical activity,individuals,"There are benefits as well as risks associated with physical activity in all       individuals, but there are some special medical considerations for the pregnant       woman.",0
PROCESS_OF,decompensated alcoholic cirrhosis,alcoholic,"Thus, low zinc       absorption contributes to zinc deficiency in decompensated alcoholic cirrhosis.",1
USES,testing,Amsler grid,Various forms of perimetry are used to confirm Chloroquine retinopathy diagnosed       by Amsler grid testing.,0
TREATS,surgeon,patients,Careful joint evaluation by the vascular radiologist and the head and neck       surgeon is necessary for the proper treatment of these patients.,1
TREATS,angioplasty,congenital heart disease,Balloon valvuloplasty and angioplasty in congenital heart disease.,1
USES,passive immunization,immunoglobulin Y (IgY) antibody,The effect of passive immunization with immunoglobulin Y (IgY) antibody against       Marek's disease virus (MDV) was examined in MDV-susceptible chickens.,1
PROCESS_OF,Sickle cell anemia,white race,Sickle cell anemia in the white race; report of a case.,1
PROCESS_OF,stenosis,patients,[Changes of the sinusoid hepatic blood flow after food ingestion: decline in       patients with stenosis of the splanchnic vessels (author's transl)].,1
COEXISTS_WITH,single-stranded DNA,RecA protein,"Since no direct       effect of SSB protein is observed on either the equilibrium or dissociation       properties of the RecA protein-single-stranded DNA complex, it is concluded that       the likely effect of SSB protein in the strand assimilation reaction is on a slow       step in the association of RecA protein with single-stranded DNA.",1
USES,treatment,cytostatics,"The       authors present 6 children with malignant diseases in whom various allergic       reactions, from urticaria to a severe form of Stivens-Johnson syndrome, were       observed to appear during the treatment with cytostatics.",1
TREATS,ST-1435,women,The contraceptive action of silastic implants containing a new progestion ST-1435       was investigated in 285 women of reproductive age.,1
PROCESS_OF,septic bursitis,patients,"Despite similar clinical presentation,       culture of bursal aspirate demonstrated septic bursitis in two patients.",1
TREATS,Corticosterone,rats,Corticosterone secretion in rats as a function of ACTH input and adrenal blood       flow.,0
PROCESS_OF,cervical esophageal       laceration,patient,A patient is presented who had sustained a high posterior cervical esophageal       laceration (secondary to an automobile accident) with concomitant fracture of the       C(4) - C(5) spine.,1
PROCESS_OF,blood flow,dogs,"The effects of intra-arterial administration of leukotrienes (LT) C4 and D4 upon       total intestinal and mucosal blood flow, intestinal oxygen consumption and motor       activity were measured in anesthetized dogs.",1
PROCESS_OF,T       cell deficiency,mice,"Despite the generally recognized T       cell deficiency of nude mice, some T cells consistently occurred in Peyer's patch       domes in all mice.",1
PROCESS_OF,tumors,human,"Reoxygenation of experimental tumors following single, massive doses of radiation       may be different from that occurring in human tumors during the course of       multifraction radiotherapy.",1
USES,bands,BI,"Competition of 125I-BI-reactive bands with cold BI or cold pork       insulin (PI), showed that the majority of the antibody response is sensitive to       the two amino acid difference between BI and PI.",0
USES,therapy,fibronectin,"The risk of hepatitis, AIDS, and other transfusion-transmitted diseases       must be balanced by data substantiating the clinical efficacy of fibronectin       therapy.",1
PROCESS_OF,injuries,adults,Lesions of heterotopic ossification were excised from thirty-seven joints in       twenty-three adults who had had injuries to the brain.,1
USES,therapy,antimicrobial,Infectious diseases: problems of antimicrobial therapy.,1
DIAGNOSES,Scintigraphic,pulmonary embolism,Scintigraphic detection of pulmonary embolism in patients with obstructive       pulmonary disease.,1
USES,man,sound,[Theory of assistance-lessons in modern counseling. 7. A definition of a mentally       sound man].,0
PROCESS_OF,tumors,inbred strain,"The       availability of myeloma tumors in a second inbred strain of mouse, NZB, permits       us to approach this question.",1
USES,treatment,drug,"This T1+ B cell population accounted for a mean of       19.6% (upper limit 48%) of the circulating B cells and did not correlate with       clinical disease activity, rheumatoid factor, or drug treatment.",1
TREATS,general treatment,patients,[The importance of general treatment in aged patients with fractures].,1
PROCESS_OF,carcinoma,patients,"Bilateral internal iliac artery infusion of chemotherapeutic agents in patients       with advanced bladder carcinoma, Stage D, resulted in a 50% response or greater       in nine of 15 patients with a median survival, thus far, of 52 weeks.",1
PROCESS_OF,myocardial infarction,relatives,"Occurrence of different clinical manifestations of coronary heart disease (CHD)       was assessed among the parents and siblings of 309 men with CHD (case probands),       including 103 men with fatal and 100 with nonfatal myocardial infarction (MI),       and 106 men with angina pectoris (AP) and among the relatives of 106 reference       men.",1
TREATS,stapes mobilization,deafness,[Indication and technic for stapes mobilization in otosclerotic deafness].,1
COEXISTS_WITH,malformations,Turner's syndrome,"Among the gonadal dysgenesis, Turner's syndrome (T.S.) is often associated with       cardiovascular malformations, mainly of the aorta.",1
DIAGNOSES,tomography,cancer,[Clinical value of tomography in cancer of the larynx].,1
PROCESS_OF,major depressive episode,patients,"In this prediction study 50 patients with DSM-III major depressive episode were       assessed before treatment with respect to symptomatology (Newcastle and Hamilton       features), diagnostic sub-types (according to the Newcastle scale and the       DSM-III) and neuroendocrinology (DST and TRH-test).",1
COEXISTS_WITH,factor IX,hemophilia B Leyden,The putative factor IX gene promoter in hemophilia B Leyden.,1
USES,patient,intrauterine device,A female patient of child-bearing age using an intrauterine device (IUD)       consulted our department for a hypogastric mass which turned out to be       actinomycosis of the bladder.,1
COEXISTS_WITH,Cytomegalovirus pneumonia,sudden infant death syndrome,Letter: Cytomegalovirus pneumonia in sudden infant death syndrome.,1
TREATS,therapy,childhood leukemia,Relapse rate after cessation of therapy in childhood leukemia.,1
PROCESS_OF,deaths,patients,"There were       three deaths (3% of the entire group), all in patients who had emergency       exploration, and all in patients over age 70.",1
TREATS,total hip       replacement,patients,"A prospective trial was carried out in 70 patients undergoing elective total hip       replacement, in order to correlate bacterial contaminants in the wound at       operation with the subsequent clinical results.",1
PROCESS_OF,polycystic ovarian syndrome,patients,"Sixteen patients with polycystic ovarian syndrome (PCO) were treated by in-vitro       fertilization (IVF), 11 suffered from definitive tubal infertility and five had       previously undergone multiple unsuccessful attempts at ovulation induction after       conventional therapy.",1
USES,treatment,drug,There was no effect       on the excretion of neutral steroids and the observed increase in fecal bile       acids after drug treatment could not be confirmed statistically.,1
PROCESS_OF,glottic cancer,patients,"A detailed retrospective analysis of 136 patients with early glottic cancer       treated at the University of Louisville, Radiation Center from October, 1953 to       December, 1975 was done.",1
PROCESS_OF,hyperlipoproteinemia,Macaca fascicularis,The characteristics of dietary cholesterol-induced hyperlipoproteinemia were       studied in adult Macaca fascicularis to determine if significant male--female       differences could be identified.,1
